category,question,answer
Network Troubleshooting,How do I reset my router?,Press and hold the reset button on your router for about 10 seconds.
Network Troubleshooting,Why is my internet slow?,Check for heavy downloads or restart your router.
Network Troubleshooting,Why can't I connect to WiFi?,Ensure your WiFi password is correct and your router is powered on.
Network Troubleshooting,Why does my internet keep disconnecting?,Try restarting your router or moving closer to the WiFi source.
Network Troubleshooting,How do I improve WiFi signal?,Place the router in an open central location away from walls or metal objects.

Billing Issues,How can I change my billing address?,Go to your account settings and update your billing information.
Billing Issues,Why was I charged twice?,Contact support with your invoice number for verification.
Billing Issues,How do I view my invoice?,Log into your account and navigate to Billing > History.
Billing Issues,Can I get a refund?,Refunds depend on the service policy. Please contact support with your transaction ID.
Billing Issues,Why is my bill higher than usual?,Check if you upgraded your plan or exceeded usage limits.

Account Management,How do I reset my password?,Click the 'Forgot Password' option on the login page.
Account Management,How do I update my profile?,Navigate to Profile settings and click Edit.
Account Management,Can I delete my account?,Please contact support to request account deletion.
Account Management,How do I change my email address?,Go to Account Settings and update your email information.
Account Management,Why can't I log into my account?,Check your credentials or reset your password if necessary.